"Employee_NormalizedFirstName"|"Employee_NormalizedLastName"|"IsTest"|"Manager_NormalizedFirstName"|"Manager_NormalizedLastName"
"EMMA"|"RODRIGUEZ"|"TRUE"|"MICHAEL"|"JOHNSON"
"SAMUEL"|"CHEN"|"TRUE"|"MICHAEL"|"JOHNSON"
"OLIVIA"|"WILLIAMS"|"TRUE"|"EMMA"|"RODRIGUEZ"
"ALEXANDER"|"PATEL"|"TRUE"|"EMMA"|"RODRIGUEZ"
"SOPHIA"|"GARCIA"|"TRUE"|"EMMA"|"RODRIGUEZ"
"BENJAMIN"|"WILSON"|"TRUE"|"SAMUEL"|"CHEN"
"AVA"|"THOMPSON"|"TRUE"|"SAMUEL"|"CHEN"
"WILLIAM"|"MARTINEZ"|"TRUE"|"SAMUEL"|"CHEN"
"ELLA"|"ANDERSON"|"TRUE"|"OLIVIA"|"WILLIAMS"
"JAMES"|"NGUYEN"|"TRUE"|"OLIVIA"|"WILLIAMS"
"CHARLOTTE"|"TAYLOR"|"TRUE"|"OLIVIA"|"WILLIAMS"
"ETHAN"|"BROWN"|"TRUE"|"OLIVIA"|"WILLIAMS"
